X_2802002_Nizamabad_1881048_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881049_Nizamabad_Wheat	119.1
X_2802002_Nizamabad_1881049_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881050_Nizamabad_Wheat	188.4
X_2802002_Nizamabad_1881050_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881051_Nizamabad_Wheat	74.8
X_2802002_Nizamabad_1881051_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881052_Nizamabad_Wheat	121.65
X_2802002_Nizamabad_1881052_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881053_Nizamabad_Wheat	66.9
X_2802002_Nizamabad_1881053_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881057_Nizamabad_Wheat	99.55
X_2802002_Nizamabad_1881057_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881060_Nizamabad_Wheat	112.15
X_2802002_Nizamabad_1881060_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881062_Nizamabad_Wheat	148.0
X_2802002_Nizamabad_1881062_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881064_Nizamabad_Wheat	149.25
X_2802002_Nizamabad_1881064_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881066_Nizamabad_Wheat	78.1
X_2802002_Nizamabad_1881066_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881068_Nizamabad_Wheat	170.85
X_2802002_Nizamabad_1881068_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881069_Nizamabad_Wheat	122.4
X_2802002_Nizamabad_1881069_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881081_Nizamabad_Wheat	110.1
X_2802002_Nizamabad_1881081_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881082_Nizamabad_Wheat	169.5
X_2802002_Nizamabad_1881082_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881083_Nizamabad_Wheat	253.85
X_2802002_Nizamabad_1881083_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881086_Nizamabad_Wheat	87.6
X_2802002_Nizamabad_1881086_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1881087_Nizamabad_Wheat	191.1
X_2802002_Nizamabad_1881087_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889001_Nizamabad_Wheat	105.0
X_2802002_Nizamabad_1889001_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889002_Nizamabad_Wheat	60.0
X_2802002_Nizamabad_1889002_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889003_Nizamabad_Wheat	98.65
X_2802002_Nizamabad_1889003_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889004_Nizamabad_Wheat	140.0
X_2802002_Nizamabad_1889004_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889005_Nizamabad_Wheat	45.2
X_2802002_Nizamabad_1889005_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889010_Nizamabad_Wheat	100.5
X_2802002_Nizamabad_1889010_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889011_Nizamabad_Wheat	90.65
X_2802002_Nizamabad_1889011_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889013_Nizamabad_Wheat	44.85
X_2802002_Nizamabad_1889013_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889016_Nizamabad_Wheat	119.8
X_2802002_Nizamabad_1889016_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889017_Nizamabad_Wheat	86.6
X_2802002_Nizamabad_1889017_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1889018_Nizamabad_Wheat	79.8
X_2802002_Nizamabad_1889018_Nizamabad_Wheat1	1.0
X_2802002_Nizamabad_1890001_Nizamabad_Wheat	116.6
X_2802002_Nizamabad_1890001_Nizamabad_Wheat1	1.0
